"165","彰化县鹿港信用合作社","14位","彰化县鹿港镇中山路２３４号","04 7782182"
"178","嘉义市第三信用合作社","14位","嘉义市文化路８５号","05 2224087"
"179","嘉义市第四信用合作社","14位","嘉义市中山路４９７号","05 2222358"
"188","台南第三信用合作社","14位","台南市中正路７号","06 2289136"
"203","高雄第二信用合作社","存款类一14位\n存款类二13位","高雄市中正四路１０７号","02 87869888"
"204","高雄市第三信用合作社","14位","高雄市建国三路３２７号","07 2871100"
"215","花莲第一信用合作社","存款类14位\n放款类13位","花莲县花莲市中山路４７３号","03 8336111"
"216","花莲第二信用合作社","14位","花莲县花莲市光复街３６号","03 8351161"
"222","澎湖县第一信用合作社","14位","澎湖县马公市民权路５１号","06 9274111"
"223","澎湖第二信用合作社","14位","澎湖县马公市仁爱路６１号","06 9273821"
"224","金门县信用合作社","14位","金门县金城镇中兴路１４６巷１１号","08 2325261"
"321","日商三井住友银行台北分行","11位","台北市信义区松智路１号３楼","02 27208100"
"372","大庆票券金融股份有限公司","12位","台北市松江路１５２号１４楼","02 25816666"
"374","台新票券金融股份有限公司","12位","台北市仁爱路４段１１８号９楼","02 23268868"
"503","北农中心所属会员","","基隆市中正路３９１号","02 29676789"
"504","北农中心所属会员","","万里区渔会","02 29676789"
"505","北农中心所属会员","","苏澳区渔会","02 29676789"
"506","桃园区渔会","","","03 3792721"
"507","新竹区渔会（联资会员）","","新竹市东大路四段２７９号","035362320"
"512","云林区渔会","","云林县口湖乡下仑村渔港路３２２号","05 7721001"
"515","嘉义区渔会","","","07 7439121"
"517","南市区渔会","","","07 7439121"
"518","南县区渔会","","","07 7439121"
"520","小港区渔会、高雄区渔会","","","07 7439121"
"521","弥陀区渔会；永安区渔会；兴达港区渔会；","","梓官区渔会；林园区渔会","07 7439121"
"523","枋寮区渔会；东港区渔会；林边区渔会","","","07 7439121"
"524","新港区渔会","","","07 7439121"
"525","澎湖区渔会","","","07 7439121"
"603","北农中心所属会员","","","02 29676789"
"605","高雄市农会","13位","高雄市三民区民族一路７７号","07 3119151"
"606","北农中心所属会员","","五股农林口农泰农八里农金农淡水农店农","02 29676789"
"607","北农中心所属会员","","","02 29676789"
"608","桃园农八德农大园农大溪农平镇农新屋农杨梅","","龙潭农龟山农芦竹农","03 3792721"
"609","北农中心所属会员","","桃园县中坜市建国路３５号","02 29676789"
"610","北农中心所属会员","","新埔农；关西农；新丰农；芝林农","02 29676789"
"611","北农中心所属会员","","","02 29676789"
"612","神冈","","台中县","04 25620022"
"613","名间本会","","南投县名间乡中正村彰南路２６号","07 7439121"
"614","永靖农员林农秀水农二林农","","芳苑农埔心农竹塘农埤头农","07 7439121"
"616","莿桐；褒忠；仑背；古坑；二仑；四湖；西螺","","口湖；大埤；斗六；台西；","07 7439121"
"617","竹崎鹿草嘉市民雄溪口梅山义竹东石番路","","大林太保大埔朴子六脚水上布袋新港","07 7439121"
"618","永康西港六甲善化盐水北门佳里将军新营归仁","","","07 7439121"
"619","大社仁武大树桥头湖内路竹阿莲燕巢杉林甲仙","","梓官茄萣大寮弥陀永安冈山鸟松林园内门等","07 7439121"
"620","林边恒春万丹新园车城里港枋山麟洛满州","","枋寮长治南州屏东市高树佳冬新埤","07 7439121"
