63341	云林县	土库镇	三民街	全
63341	云林县	土库镇	三义路	全
63349	云林县	土库镇	下店	全
63349	云林县	土库镇	下围	全
63348	云林县	土库镇	下庄	全
63347	云林县	土库镇	大同路	全
63363	云林县	土库镇	大荖	全
63341	云林县	土库镇	中山路	全
63342	云林县	土库镇	中央路	全
63341	云林县	土库镇	中正路	全
63349	云林县	土库镇	中围	全
63342	云林县	土库镇	中华路	全
63344	云林县	土库镇	中兴路	全
63345	云林县	土库镇	仁和街	全
63343	云林县	土库镇	仁美街	全
63353	云林县	土库镇	仁爱街	全
63344	云林县	土库镇	公园路	全
63344	云林县	土库镇	文仁街	全
63341	云林县	土库镇	文化路	全
63344	云林县	土库镇	文吉路	全
63344	云林县	土库镇	文和街	全
63344	云林县	土库镇	文昌路	全
63344	云林县	土库镇	文兴街	全
63359	云林县	土库镇	民生路	全
63357	云林县	土库镇	民族路	全
63356	云林县	土库镇	民权路	全
63344	云林县	土库镇	石庙	全
63346	云林县	土库镇	光明路	全
63341	云林县	土库镇	光复路	全
63354	云林县	土库镇	光荣路１段	全
63354	云林县	土库镇	光荣路２段	全
63351	云林县	土库镇	光荣路３段	全
63364	云林县	土库镇	好收	全
63347	云林县	土库镇	成功路	全
63366	云林县	土库镇	竹围	全
63348	云林县	土库镇	竹寮	全
63359	云林县	土库镇	西平	全
63350	云林县	土库镇	西菜园	全
63360	云林县	土库镇	西新庄	全
63361	云林县	土库镇	扶朝	全
63362	云林县	土库镇	秀潭	全
63355	云林县	土库镇	和平街	全
63359	云林县	土库镇	忠孝街	全
63352	云林县	土库镇	果围	全
63347	云林县	土库镇	林森路	全
63347	云林县	土库镇	长荣街	全
63353	云林县	土库镇	信义街	全
63360	云林县	土库镇	南新庄	全
63345	云林县	土库镇	建仁街	全
63345	云林县	土库镇	建功街	全
63345	云林县	土库镇	建成街	全
63345	云林县	土库镇	建勇街	全
63345	云林县	土库镇	建国路	全
63345	云林县	土库镇	建智街	全
63354	云林县	土库镇	后埔	全
63341	云林县	土库镇	修德街	全
63351	云林县	土库镇	马光路	全
63344	云林县	土库镇	马光路１段	全
63361	云林县	土库镇	埤脚	全
63352	云林县	土库镇	仑内	全
63349	云林县	土库镇	张庄	全
63349	云林县	土库镇	顶围	全
63352	云林县	土库镇	顶寮	全
63344	云林县	土库镇	复兴路	全
63344	云林县	土库镇	菜园街	全
63358	云林县	土库镇	新生街	全
63360	云林县	土库镇	新光	全
63341	云林县	土库镇	新建路	全
63349	云林县	土库镇	新兴	全
63360	云林县	土库镇	新庄	全
63365	云林县	土库镇	溪心	全
63348	云林县	土库镇	溪埔	全
63362	云林县	土库镇	绮湖	全
63344	云林县	土库镇	兴国街	全
63342	云林县	土库镇	联美路	全
63354	云林县	土库镇	双人厝	全
63349	云林县	土库镇	芦竹	全
